Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,5600,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- France; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- France; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,5900,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6000,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6300,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6400,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6600,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6800,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6800,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6800,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,6900,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Spain; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
