Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34107,2020,Uhrmann 2020 Transl Vis Sci Technol,190000,"voretigene neparvovec-rzyl VERSUS Standard/Usual Care- annual physicians' check + supportive care IN Specific disease- biallelic rpe65 mutation-associated inherited retinal degeneration; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Germany.",32879773,"Specific disease- biallelic rpe65 mutation-associated inherited retinal degeneration; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Germany.",voretigene neparvovec-rzyl,Cost Effectiveness of Voretigene Neparvovec for RPE65-Mediated Inherited Retinal  Degeneration in Germany.,Standard/Usual Care- annual physicians' check + supportive care,NE
2020-01-34008,2020,Kass 2020 BMC Health Serv Res,14000,integrated care contracts for homeopathy VERSUS Standard/Usual Care- insured individuals IN Specific disease- depression; Age- Adult; Gender- Both; Country- Germany.,32933511,Specific disease- depression; Age- Adult; Gender- Both; Country- Germany.,integrated care contracts for homeopathy,Effectiveness and cost-effectiveness of treatment with additional enrollment to a  homeopathic integrated care contract in Germany.,Standard/Usual Care- insured individuals,NE
2020-01-34008,2020,Kass 2020 BMC Health Serv Res,15000,"integrated care contracts for homeopathy VERSUS Standard/Usual Care- insured individuals IN Specific disease- migraines, headaches; Age- Adult; Gender- Both; Country- Germany.",32933511,"Specific disease- migraines, headaches; Age- Adult; Gender- Both; Country- Germany.",integrated care contracts for homeopathy,Effectiveness and cost-effectiveness of treatment with additional enrollment to a  homeopathic integrated care contract in Germany.,Standard/Usual Care- insured individuals,NE
2020-01-34008,2020,Kass 2020 BMC Health Serv Res,4600,integrated care contracts for homeopathy VERSUS Standard/Usual Care- insured individuals IN Specific disease- atopic dermatitis; Age- Adult; Gender- Both; Country- Germany.,32933511,Specific disease- atopic dermatitis; Age- Adult; Gender- Both; Country- Germany.,integrated care contracts for homeopathy,Effectiveness and cost-effectiveness of treatment with additional enrollment to a  homeopathic integrated care contract in Germany.,Standard/Usual Care- insured individuals,NE
2020-01-34008,2020,Kass 2020 BMC Health Serv Res,73000,integrated care contracts for homeopathy VERSUS Standard/Usual Care- insured individuals IN Specific disease- depression; Age- Adult; Gender- Both; Country- Germany.,32933511,Specific disease- depression; Age- Adult; Gender- Both; Country- Germany.,integrated care contracts for homeopathy,Effectiveness and cost-effectiveness of treatment with additional enrollment to a  homeopathic integrated care contract in Germany.,Standard/Usual Care- insured individuals,NE
2020-01-33824,2020,Sieg 2020 BMC Gastroenterol,1.2e+006,cabozantinib VERSUS Standard/Usual Care- best supportive care + placebo IN Specific disease- hepatocellular carcinoma; Age- Adult; Gender- Both; Country- United States; Other- sorafenib-resistant advanced hepatocellular carcinoma.,0,Specific disease- hepatocellular carcinoma; Age- Adult; Gender- Both; Country- United States; Other- sorafenib-resistant advanced hepatocellular carcinoma.,cabozantinib,Comparative cost-effectiveness of cabozantinib as second-line therapy for patients with advanced hepatocellular carcinoma in Germany and the United States.,Standard/Usual Care- best supportive care + placebo,NE
2020-01-33824,2020,Sieg 2020 BMC Gastroenterol,380000,cabozantinib VERSUS Standard/Usual Care- best supportive care + placebo IN Specific disease- hepatocellular carcinoma; Age- Adult; Gender- Both; Country- Germany; Other- sorafenib-resistant advanced hepatocellular carcinoma.,0,Specific disease- hepatocellular carcinoma; Age- Adult; Gender- Both; Country- Germany; Other- sorafenib-resistant advanced hepatocellular carcinoma.,cabozantinib,Comparative cost-effectiveness of cabozantinib as second-line therapy for patients with advanced hepatocellular carcinoma in Germany and the United States.,Standard/Usual Care- best supportive care + placebo,NE
2020-01-33503,2020,McEwan 2020 Eur. J. Heart Fail.,11000,dapagliflozin + standard therapy VERSUS Standard/Usual Care- standard/usual care IN Specific disease- heart failure; Age- Adult; Gender- Both; Country- Spain; Other- reduced ejection fraction.,0,Specific disease- heart failure; Age- Adult; Gender- Both; Country- Spain; Other- reduced ejection fraction.,dapagliflozin + standard therapy,Cost-effectiveness of dapagliflozin as a treatment for heart failure with reduced ejection fraction: a multinational health-economic analysis of DAPA-HF.,Standard/Usual Care- standard/usual care,NE
2020-01-33503,2020,McEwan 2020 Eur. J. Heart Fail.,6100,dapagliflozin + standard therapy VERSUS Standard/Usual Care- standard/usual care IN Specific disease- heart failure; Age- Adult; Gender- Both; Country- Germany; Other- reduced ejection fraction.,0,Specific disease- heart failure; Age- Adult; Gender- Both; Country- Germany; Other- reduced ejection fraction.,dapagliflozin + standard therapy,Cost-effectiveness of dapagliflozin as a treatment for heart failure with reduced ejection fraction: a multinational health-economic analysis of DAPA-HF.,Standard/Usual Care- standard/usual care,NE
2020-01-33503,2020,McEwan 2020 Eur. J. Heart Fail.,6600,dapagliflozin + standard therapy VERSUS Standard/Usual Care- standard/usual care IN Specific disease- heart failure; Age- Adult; Gender- Both; Country- United Kingdom; Other- reduced ejection fraction.,0,Specific disease- heart failure; Age- Adult; Gender- Both; Country- United Kingdom; Other- reduced ejection fraction.,dapagliflozin + standard therapy,Cost-effectiveness of dapagliflozin as a treatment for heart failure with reduced ejection fraction: a multinational health-economic analysis of DAPA-HF.,Standard/Usual Care- standard/usual care,NE
2020-01-33411,2020,Hadwiger 2020 Appl Health Econ Health Policy,30000,cardiac biventricular defibrillator implantation VERSUS biventricular pacemaker (crt-p) IN Specific disease- heart failure; Age- >=65 years; Gender- Both; Country- Germany.,0,Specific disease- heart failure; Age- >=65 years; Gender- Both; Country- Germany.,cardiac biventricular defibrillator implantation,Cardiac Resynchronisation Therapy in Patients with Moderate to Severe Heart Failure in Germany: A Cost-Utility Analysis of the Additional Defibrillator.,biventricular pacemaker (crt-p),NE
2020-01-33411,2020,Hadwiger 2020 Appl Health Econ Health Policy,7100,biventricular pacemaker implantation VERSUS Standard/Usual Care- optimal medical therapy IN Specific disease- heart failure; Age- >=65 years; Gender- Both; Country- Germany.,0,Specific disease- heart failure; Age- >=65 years; Gender- Both; Country- Germany.,biventricular pacemaker implantation,Cardiac Resynchronisation Therapy in Patients with Moderate to Severe Heart Failure in Germany: A Cost-Utility Analysis of the Additional Defibrillator.,Standard/Usual Care- optimal medical therapy,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,2500,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,2800,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,2800,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,2800,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3000,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3000,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Germany; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3000,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Portugal; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
